UPRN,TotalEnergyConsumptionCurrent,TotalEnergyConsumptionPotential,TotalFloorArea
6000162.0,19392.0,17600.0,64.0
6000163.0,15783.6,13609.155,61.545
6000164.0,12688.0,12324.0,52.0
6000165.0,17458.0,16240.0,58.0
6000169.0,9828.0,9828.0,63.0
6000170.0,8442.0,8442.0,63.0
6000171.0,9407.02,8087.42,70.82
6000173.0,12031.26,10508.22,66.53999999999999
6000174.0,9198.32,7473.57,71.87
6000175.0,9752.05,7915.95,69.475
6000176.0,8949.0,7659.0,63.5
6000177.0,7739.094999999999,7248.605,67.535
6000178.0,7980.0,6860.0,70.0
6000179.0,8706.5,7180.0,79.0
6000180.0,11952.0,7056.0,72.0
6000183.0,28750.0,14375.0,125.0
6000184.0,16636.2,15804.39,118.83
6000185.0,11848.05,10374.65,64.05
6000186.0,12928.0,9856.0,64.0
6000187.0,11015.163333333336,8290.6,68.12333333333333
6000189.0,10350.0,7245.0,69.0
6000190.0,10725.0,8250.0,75.0
6000193.0,18872.25,14846.15,60.725
6000194.0,16491.0,10005.0,69.0
6000195.0,14938.8,12824.8,87.6
6000196.0,7207.005,6581.235000000001,69.265
6000197.0,11207.58,9459.573333333334,75.17
6000198.0,19542.399999999998,15444.8,157.6
6000199.0,16225.14,16136.4,61.58
6000200.0,11880.0,6480.0,60.0
6000201.0,11441.960000000001,8629.346666666666,72.39333333333333
6000203.0,11152.0,7684.0,68.0
6000204.0,11493.36,9089.52,75.12
6000207.0,11279.16,10307.175,62.355000000000004
6000208.0,12390.0,7350.0,70.0
6000209.0,12780.25,10818.75,76.25
6000210.0,13093.0,8336.0,69.5
6000211.0,13950.0,7275.0,75.0
6000212.0,12847.599999999999,9954.4,68.8
6000213.0,13885.08,10162.18,75.25999999999999
6000215.0,9729.0,9729.0,69.0
6000216.0,9091.3,7177.8,72.85
6000217.0,13838.0,10696.4,74.8
6000218.0,15590.399999999998,11762.4,69.6
6000219.0,10650.0,8100.0,75.0
6000220.0,10666.79,8155.780000000001,69.71000000000001
6000221.0,11704.0,8624.0,77.0
6000223.0,10298.5,9016.0,59.5
6000224.0,9072.45,8485.95,69.45
6000225.0,9066.0,8312.0,68.5
6000226.0,11291.15,8805.05,69.05
6000227.0,11391.0,8428.0,76.0
6000228.0,12790.800000000001,9439.2,68.4
6000229.0,15520.893333333333,11779.599999999999,75.34666666666666
6000230.0,10602.0,10602.0,62.0
6000231.0,11590.0,9089.0,61.0
6000232.0,9638.0,8058.0,79.0
6000233.0,12017.466666666667,10305.633333333333,64.64999999999999
6000234.0,7797.0,7797.0,69.0
6000235.0,9066.735,6443.49,63.165
6000238.0,8094.0,7100.0,71.0
6000239.0,8757.0,7371.0,63.0
6000240.0,9751.0,8351.0,82.25
6000241.0,11536.0,8112.1,72.1
6000242.0,7738.62,7093.76,66.94
6000243.0,10899.0,10899.0,63.0
6000244.0,12204.0,10152.0,108.0
6000245.0,10053.0,8141.2,70.8
6000246.0,10613.0,8845.900000000001,77.1
6000247.0,11644.0,9869.0,71.0
6000248.0,16139.62,13964.68,90.46000000000001
6000249.0,8527.130000000001,7527.67,71.695
6000250.0,25920.0,13824.0,96.0
